merchant_id,scenario,baseline_tx_count,current_tx_count,baseline_fraud_count,current_fraud_count,baseline_fraud_rate,current_fraud_rate,baseline_device_count,current_device_count,baseline_suspicious_score,current_suspicious_score,fraud_spike_label,fraud_rate_delta,fraud_rate_ratio,volume_surge_ratio,device_concentration_ratio,suspicious_score_delta
MERCH_SPIKE_ATO_00124,targeted_ato_surge,835,94,24,31,0.0291,0.326,668,33,0.1102,0.8712,1,0.2969,11.1678,2.7018,2.8485,0.761
MERCH_STD_00839,standard_stable,2741,98,72,3,0.0265,0.0268,1948,70,0.0206,0.1084,0,0.0003,1.0113,0.8581,1.4,0.0878
MERCH_HIBAS_00106,high_stable_fraud,572,21,72,3,0.127,0.1219,352,15,0.3017,0.3561,0,-0.0051,0.9599,0.8811,1.4,0.0544
MERCH_HIBAS_00369,high_stable_fraud,2069,72,224,7,0.1083,0.0998,1324,47,0.3756,0.2662,0,-0.0085,0.9216,0.8352,1.5319,-0.1094
MERCH_STD_00360,standard_stable,832,31,10,0,0.013,0.0111,741,23,0.0484,0.0522,0,-0.0019,0.855,0.8942,1.3478,0.0038
MERCH_SPIKE_RUSH_00273,syndicate_bot_rush,1374,278,20,133,0.015,0.478,1126,83,0.0854,0.8866,1,0.463,31.6623,4.8559,3.3494,0.8012
MERCH_SPIKE_ATO_00121,targeted_ato_surge,1062,127,26,60,0.0249,0.4691,849,50,0.0614,0.7245,1,0.4442,18.768,2.8701,2.54,0.6631
MERCH_STD_01032,standard_stable,3671,139,146,5,0.0398,0.0347,2927,100,0.0898,0.0761,0,-0.0051,0.8722,0.9087,1.39,-0.0137
MERCH_FLASH_00536,flash_sale_high_vol,2436,741,58,10,0.0239,0.0136,1923,596,0.0408,0.0842,0,-0.0103,0.5708,7.3005,1.2433,0.0434
MERCH_HIBAS_00093,high_stable_fraud,1111,55,125,6,0.113,0.105,846,37,0.3495,0.4048,0,-0.008,0.9293,1.1881,1.4865,0.0553
MERCH_NOISE_00113,low_volume_noise,58,2,0,0,0.0,0.0,52,2,0.0446,0.0248,0,0.0,1.0,0.8276,1.0,-0.0198
MERCH_SPIKE_RUSH_00363,syndicate_bot_rush,1683,503,40,188,0.0238,0.3733,1380,173,0.0976,0.7192,1,0.3495,15.6234,7.1729,2.9075,0.6216
MERCH_STD_01080,standard_stable,1866,61,63,2,0.034,0.0338,1404,43,0.0877,0.0208,0,-0.0002,0.9941,0.7846,1.4186,-0.0669
MERCH_HIBAS_00067,high_stable_fraud,1304,57,200,8,0.154,0.1462,805,35,0.3846,0.2926,0,-0.0078,0.9494,1.0491,1.6286,-0.092
MERCH_STD_00601,standard_stable,2451,97,52,2,0.0215,0.022,2073,74,0.0331,0.0427,0,0.0005,1.0231,0.9498,1.3108,0.0096
MERCH_SPIKE_RUSH_00175,syndicate_bot_rush,1027,253,31,125,0.0302,0.4958,842,67,0.0686,0.8304,1,0.4656,16.3663,5.9124,3.7761,0.7618
MERCH_SPIKE_ATO_00294,targeted_ato_surge,862,88,24,28,0.0286,0.3222,689,43,0.0898,0.7605,1,0.2936,11.23,2.4501,2.0465,0.6707
MERCH_SPIKE_ATO_00130,targeted_ato_surge,680,88,19,44,0.028,0.5046,544,43,0.0374,0.5623,1,0.4766,17.9609,3.1059,2.0465,0.5249
MERCH_ORG_00155,organic_growth,1437,74,32,2,0.0226,0.0286,1221,62,0.0586,0.0601,0,0.006,1.2643,1.2359,1.1935,0.0015
MERCH_STD_00041,standard_stable,3127,123,42,2,0.0135,0.0144,2450,105,0.0737,0.0534,0,0.0009,1.0662,0.944,1.1714,-0.0203
MERCH_HIBAS_00166,high_stable_fraud,1263,48,130,5,0.1031,0.1108,957,33,0.2757,0.3942,0,0.0077,1.0746,0.9121,1.4545,0.1185
MERCH_ORG_00087,organic_growth,527,30,7,1,0.015,0.0396,447,25,0.0467,0.0601,0,0.0246,2.6291,1.3662,1.2,0.0134
MERCH_STD_00972,standard_stable,2232,92,66,3,0.0298,0.0325,1815,71,0.0755,0.1057,0,0.0027,1.0903,0.9892,1.2958,0.0302
MERCH_STD_00561,standard_stable,1145,49,22,1,0.0195,0.0175,1030,36,0.0865,0.0359,0,-0.002,0.898,1.0271,1.3611,-0.0506
MERCH_FLASH_00556,flash_sale_high_vol,1870,586,22,9,0.0118,0.0152,1610,550,0.066,0.0785,0,0.0034,1.2857,7.5209,1.0655,0.0125
MERCH_STD_01482,standard_stable,1971,85,46,2,0.0235,0.0218,1571,65,0.029,0.1067,0,-0.0017,0.928,1.035,1.3077,0.0777
MERCH_SPIKE_ATO_00184,targeted_ato_surge,1202,121,39,31,0.033,0.2579,961,43,0.0898,0.6657,1,0.2249,7.7946,2.416,2.814,0.5759
MERCH_SPIKE_ATO_00255,targeted_ato_surge,1132,140,24,39,0.0219,0.2767,905,58,0.1172,0.6539,1,0.2548,12.5818,2.9682,2.4138,0.5367
MERCH_ORG_00115,organic_growth,694,42,18,0,0.0262,0.0112,589,35,0.021,0.0615,0,-0.015,0.4297,1.4524,1.2,0.0405
MERCH_FLASH_00479,flash_sale_high_vol,2201,549,26,9,0.0121,0.0173,1736,512,0.0679,0.0744,0,0.0052,1.4262,5.9864,1.0723,0.0065
MERCH_HIBAS_00080,high_stable_fraud,783,33,89,4,0.1138,0.1115,610,25,0.357,0.2867,0,-0.0023,0.9798,1.0115,1.32,-0.0703
MERCH_HIBAS_00384,high_stable_fraud,919,41,133,6,0.1458,0.1377,714,31,0.3794,0.3759,0,-0.0081,0.9445,1.0707,1.3226,-0.0035
MERCH_STD_00008,standard_stable,2944,121,78,3,0.0266,0.0245,2078,95,0.0372,0.0609,0,-0.0021,0.9213,0.9864,1.2737,0.0237
MERCH_STD_01596,standard_stable,2695,107,104,4,0.0389,0.0382,1972,78,0.0974,0.0772,0,-0.0007,0.9821,0.9529,1.3718,-0.0202
MERCH_STD_00100,standard_stable,3281,155,42,2,0.013,0.015,2479,114,0.0349,0.0722,0,0.002,1.1527,1.1338,1.3596,0.0373
MERCH_STD_01313,standard_stable,1172,45,45,2,0.0389,0.0456,1054,35,0.0779,0.0844,0,0.0067,1.1718,0.9215,1.2857,0.0065
MERCH_ORG_00122,organic_growth,1158,70,17,1,0.0148,0.0177,984,59,0.0704,0.0309,0,0.0029,1.1946,1.4508,1.1864,-0.0395
MERCH_HIBAS_00139,high_stable_fraud,1245,44,125,4,0.101,0.1012,988,29,0.3208,0.417,0,0.0002,1.002,0.8482,1.5172,0.0962
MERCH_STD_00961,standard_stable,1501,53,17,1,0.0117,0.0109,1164,44,0.0398,0.066,0,-0.0008,0.9322,0.8474,1.2045,0.0262
MERCH_ORG_00065,organic_growth,882,44,24,1,0.0273,0.0231,749,37,0.0254,0.0523,0,-0.0042,0.8467,1.1973,1.1892,0.0269
MERCH_SPIKE_ATO_00259,targeted_ato_surge,471,43,8,23,0.0172,0.5375,376,16,0.1197,0.8146,1,0.5203,31.0751,2.1911,2.6875,0.6949
MERCH_FLASH_00563,flash_sale_high_vol,1834,577,21,9,0.0119,0.0158,1398,470,0.078,0.0519,0,0.0039,1.325,7.5507,1.2277,-0.0261
MERCH_SPIKE_ATO_00033,targeted_ato_surge,1242,130,21,50,0.0174,0.3835,993,41,0.0808,0.6245,1,0.3661,21.92,2.5121,3.1707,0.5437
MERCH_HIBAS_00476,high_stable_fraud,1782,79,187,8,0.1054,0.0964,1210,51,0.2747,0.3407,0,-0.009,0.9147,1.064,1.549,0.066
MERCH_FLASH_00499,flash_sale_high_vol,1394,391,23,7,0.017,0.0178,1083,353,0.067,0.0359,0,0.0008,1.0468,6.7317,1.1076,-0.0311
MERCH_STD_00984,standard_stable,2463,93,96,3,0.0393,0.0338,1790,76,0.0638,0.0384,0,-0.0055,0.8604,0.9062,1.2237,-0.0254
MERCH_SPIKE_RUSH_00414,syndicate_bot_rush,1105,150,16,37,0.0152,0.2488,906,54,0.0911,0.7168,1,0.2336,16.268,3.2579,2.7778,0.6257
MERCH_SPIKE_RUSH_00202,syndicate_bot_rush,1693,530,50,229,0.03,0.4325,1388,149,0.0409,0.854,1,0.4025,14.3721,7.5133,3.557,0.8131
MERCH_NOISE_00206,low_volume_noise,94,1,0,0,0.0,0.0,84,1,0.1004,0.066,0,0.0,1.0,0.2553,1.0,-0.0344
MERCH_FLASH_00197,flash_sale_high_vol,790,259,17,3,0.0221,0.0124,717,237,0.0246,0.0667,0,-0.0097,0.5631,7.8684,1.0928,0.0421
MERCH_SPIKE_RUSH_00098,syndicate_bot_rush,834,241,16,63,0.0199,0.2631,683,75,0.0727,0.66,1,0.2432,13.16,6.9353,3.2133,0.5873
MERCH_HIBAS_00461,high_stable_fraud,1319,51,159,6,0.1207,0.1108,866,33,0.385,0.4019,0,-0.0099,0.918,0.928,1.5455,0.0169
MERCH_NOISE_00030,low_volume_noise,85,3,0,1,0.0,0.3333,76,3,0.0538,0.0568,0,0.3333,3334.0,0.8471,1.0,0.003
MERCH_NOISE_00314,low_volume_noise,75,1,1,0,0.0133,0.0,67,1,0.0551,0.1116,0,-0.0133,0.0075,0.32,1.0,0.0565
MERCH_HIBAS_00158,high_stable_fraud,897,35,104,4,0.1168,0.1224,650,21,0.317,0.388,0,0.0056,1.0479,0.9365,1.6667,0.071
MERCH_FLASH_00624,flash_sale_high_vol,1803,409,20,9,0.0114,0.0226,1463,358,0.0213,0.0502,0,0.0112,1.9739,5.4443,1.1425,0.0289
MERCH_NOISE_00109,low_volume_noise,61,1,1,1,0.0164,1.0,54,1,0.0534,0.1487,0,0.9836,60.6121,0.3934,1.0,0.0953
MERCH_STD_00685,standard_stable,1715,88,17,1,0.0101,0.0109,1393,67,0.0656,0.1092,0,0.0008,1.0784,1.2315,1.3134,0.0436
MERCH_NOISE_00122,low_volume_noise,51,4,1,0,0.0196,0.0,45,4,0.0271,0.2448,0,-0.0196,0.0051,1.8824,1.0,0.2177
MERCH_NOISE_00063,low_volume_noise,31,4,0,1,0.0,0.25,27,4,0.1111,0.1012,0,0.25,2501.0,3.0968,1.0,-0.0099
MERCH_STD_01156,standard_stable,1689,86,36,2,0.0219,0.0246,1495,62,0.0605,0.0785,0,0.0027,1.1227,1.222,1.3871,0.018
MERCH_NOISE_00305,low_volume_noise,35,2,0,0,0.0,0.0,31,2,0.0636,0.1792,0,0.0,1.0,1.3714,1.0,0.1156
MERCH_ORG_00032,organic_growth,980,50,13,2,0.0135,0.0367,833,42,0.0512,0.032,0,0.0232,2.7059,1.2245,1.1905,-0.0192
MERCH_FLASH_00617,flash_sale_high_vol,826,141,19,2,0.0235,0.0137,746,130,0.0545,0.0736,0,-0.0098,0.5847,4.0969,1.0846,0.0191
MERCH_NOISE_00171,low_volume_noise,94,2,1,1,0.0106,0.5,84,2,0.0707,0.0374,0,0.4894,46.7383,0.5106,1.0,-0.0333
MERCH_STD_00451,standard_stable,3559,141,93,4,0.0264,0.0299,3096,106,0.0963,0.0595,0,0.0035,1.1321,0.9508,1.3302,-0.0368
MERCH_STD_00569,standard_stable,3077,133,41,2,0.0135,0.014,2625,94,0.0605,0.0823,0,0.0005,1.0368,1.0374,1.4149,0.0218
MERCH_HIBAS_00094,high_stable_fraud,1709,64,197,8,0.1157,0.1211,1291,48,0.361,0.2894,0,0.0054,1.0466,0.8988,1.3333,-0.0716
MERCH_STD_00976,standard_stable,1029,48,34,1,0.0339,0.0303,842,35,0.0967,0.0452,0,-0.0036,0.8941,1.1195,1.3714,-0.0515
MERCH_SPIKE_RUSH_00371,syndicate_bot_rush,1304,169,14,46,0.0115,0.2712,1069,51,0.0767,0.8097,1,0.2597,23.3879,3.1104,3.3137,0.733
MERCH_STD_00127,standard_stable,3399,143,80,3,0.0238,0.0195,2836,110,0.083,0.1032,0,-0.0043,0.8201,1.0097,1.3,0.0202
MERCH_SPIKE_ATO_00263,targeted_ato_surge,354,34,11,20,0.0312,0.5869,283,11,0.0973,0.8994,1,0.5557,18.754,2.3051,3.0909,0.8021
MERCH_SPIKE_RUSH_00153,syndicate_bot_rush,1317,278,28,144,0.022,0.5179,1079,92,0.0353,0.7759,1,0.4959,23.4389,5.0661,3.0217,0.7406
MERCH_HIBAS_00176,high_stable_fraud,1240,49,132,6,0.1065,0.1161,849,36,0.2503,0.3848,0,0.0096,1.0901,0.9484,1.3611,0.1345
MERCH_HIBAS_00213,high_stable_fraud,664,25,82,3,0.1246,0.1293,496,18,0.3205,0.3933,0,0.0047,1.0377,0.9036,1.3889,0.0728
MERCH_HIBAS_00306,high_stable_fraud,1296,49,160,6,0.1238,0.1209,916,32,0.2705,0.4053,0,-0.0029,0.9766,0.9074,1.5312,0.1348
MERCH_HIBAS_00128,high_stable_fraud,1905,85,214,9,0.1125,0.1078,1508,56,0.3864,0.3994,0,-0.0047,0.9583,1.0709,1.5179,0.013
MERCH_NOISE_00150,low_volume_noise,30,1,0,1,0.0,1.0,27,1,0.0762,0.0609,0,1.0,10001.0,0.8,1.0,-0.0153
MERCH_STD_00670,standard_stable,3027,149,110,6,0.0364,0.0418,2210,107,0.0939,0.0374,0,0.0054,1.1479,1.1814,1.3925,-0.0565
MERCH_STD_01367,standard_stable,2658,90,106,3,0.04,0.0352,1937,65,0.0563,0.1079,0,-0.0048,0.8803,0.8126,1.3846,0.0516
MERCH_STD_01410,standard_stable,1329,54,19,1,0.0143,0.0141,1128,41,0.0317,0.0841,0,-0.0002,0.9861,0.9752,1.3171,0.0524
MERCH_SPIKE_RUSH_00328,syndicate_bot_rush,865,106,10,40,0.0119,0.3758,709,33,0.0325,0.8468,1,0.3639,31.325,2.941,3.2121,0.8143
MERCH_FLASH_00387,flash_sale_high_vol,818,286,9,3,0.0114,0.0106,680,247,0.0395,0.0784,0,-0.0008,0.9304,8.3912,1.1579,0.0389
MERCH_STD_01072,standard_stable,1464,65,21,1,0.0144,0.0121,1277,51,0.0543,0.0701,0,-0.0023,0.8414,1.0656,1.2745,0.0158
MERCH_STD_01580,standard_stable,1928,82,34,1,0.018,0.0167,1688,68,0.0788,0.0214,0,-0.0013,0.9282,1.0207,1.2059,-0.0574
MERCH_HIBAS_00196,high_stable_fraud,553,21,72,3,0.132,0.1442,359,13,0.3716,0.4069,0,0.0122,1.0924,0.9114,1.6154,0.0353
MERCH_STD_00911,standard_stable,2745,120,36,2,0.0134,0.0156,2206,98,0.037,0.0648,0,0.0022,1.163,1.0492,1.2245,0.0278
MERCH_STD_00030,standard_stable,2937,143,41,2,0.0143,0.0124,2223,104,0.0292,0.0221,0,-0.0019,0.8681,1.1685,1.375,-0.0071
MERCH_SPIKE_ATO_00161,targeted_ato_surge,409,35,14,15,0.0351,0.4215,327,15,0.0968,0.8893,1,0.3864,11.9773,2.0538,2.3333,0.7925
MERCH_STD_01229,standard_stable,3148,142,61,2,0.0195,0.0173,2364,125,0.0265,0.0615,0,-0.0022,0.8878,1.0826,1.136,0.035
MERCH_FLASH_00109,flash_sale_high_vol,2222,510,55,12,0.0248,0.0242,1680,435,0.072,0.0547,0,-0.0006,0.9759,5.5086,1.1724,-0.0173
MERCH_STD_01069,standard_stable,2324,100,26,1,0.0116,0.0093,1659,81,0.078,0.0368,0,-0.0023,0.8034,1.0327,1.2346,-0.0412
MERCH_SPIKE_RUSH_00354,syndicate_bot_rush,827,167,8,74,0.0106,0.4428,678,73,0.0792,0.6854,1,0.4322,41.3925,4.8464,2.2877,0.6062
MERCH_SPIKE_RUSH_00143,syndicate_bot_rush,1519,344,17,91,0.0117,0.2653,1245,138,0.0784,0.8744,1,0.2536,22.4915,5.4352,2.4928,0.796
MERCH_ORG_00096,organic_growth,1257,78,36,2,0.0292,0.0301,1068,66,0.034,0.0674,0,0.0009,1.0307,1.4893,1.1818,0.0334
MERCH_FLASH_00452,flash_sale_high_vol,1521,345,26,5,0.0177,0.0159,1342,301,0.0361,0.0379,0,-0.0018,0.8989,5.4438,1.1462,0.0018
MERCH_STD_01060,standard_stable,2702,115,67,3,0.0248,0.0234,2354,85,0.0766,0.0289,0,-0.0014,0.9438,1.0215,1.3529,-0.0477
MERCH_FLASH_00005,flash_sale_high_vol,1005,275,17,3,0.0174,0.0116,863,225,0.0302,0.0853,0,-0.0058,0.6686,6.5672,1.2222,0.0551
MERCH_SPIKE_ATO_00282,targeted_ato_surge,456,35,15,14,0.0343,0.3947,364,11,0.0458,0.7294,1,0.3604,11.4767,1.8421,3.1818,0.6836
MERCH_STD_00721,standard_stable,2823,126,101,5,0.0361,0.0429,2477,94,0.0727,0.0221,0,0.0068,1.1878,1.0712,1.3404,-0.0506
