account_id,cluster_id,cluster_size,shared_device_account_count,shared_ip_account_count,shared_payment_account_count,shared_address_account_count,entity_overlap_score,bipartite_degree_centrality,creation_velocity_window_hours,payment_to_device_ratio,account_to_payment_ratio,behavior_similarity_score,temporal_coordination_score,suspicious_behavior_overlap,return_behavior_similarity,transaction_pattern_similarity,is_ring_member_label
ACC_000001,RING_00001,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.0729,1.0,1.0,0
ACC_000002,RING_00002,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.1071,0.0605,1.0,1.0,0
ACC_000003,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000004,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000005,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000006,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000007,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000008,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000009,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000010,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000011,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000012,RING_00003,10,0,0,0,9,0.2,1.0,443.38,1.0,1.0,0.8577,0.0796,0.7727,0.9367,0.7787,1
ACC_000013,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000014,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000015,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000016,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
ACC_000017,RING_00004,18,17,17,17,17,1.0,1.0,0.39,1.0,18.0,0.9904,0.9907,0.8256,1.0,0.9809,1
