account_id,cluster_id,created_at,account_age_days,order_count,total_spend,average_order_value,return_count,refund_count,return_rate,refund_rate,high_value_order_count,suspicious_activity_score,device_type,primary_payment_method
ACC_000001,RING_00001,2027-07-01T07:10:30.140172+00:00,1,22,2808.96,127.68,2,1,0.0909,0.0455,2,0.0729,mobile_android,debit_card
ACC_000002,RING_00002,2026-12-03T16:58:13.389341+00:00,1,23,2613.26,113.62,2,1,0.087,0.0435,0,0.0605,mobile_ios,paypal
ACC_000003,RING_00003,2026-03-26T21:01:32.907280+00:00,127,29,9676.14,333.66,25,24,0.8621,0.8276,15,0.8465,desktop_chrome,credit_card
ACC_000004,RING_00003,2026-03-29T02:03:32.242293+00:00,124,32,8202.88,256.34,28,27,0.875,0.8438,14,0.72,desktop_chrome,credit_card
ACC_000005,RING_00003,2026-04-08T15:51:48.591203+00:00,114,22,5639.7,256.35,19,18,0.8636,0.8182,19,0.7029,desktop_chrome,credit_card
ACC_000006,RING_00003,2026-04-09T21:29:09.005409+00:00,113,27,8073.81,299.03,24,22,0.8889,0.8148,17,0.6862,desktop_chrome,credit_card
ACC_000007,RING_00003,2026-04-14T08:24:16.817646+00:00,108,18,5333.94,296.33,15,13,0.8333,0.7222,12,0.8124,desktop_chrome,credit_card
ACC_000008,RING_00003,2026-04-01T12:23:46.218863+00:00,121,25,6085.25,243.41,21,18,0.84,0.72,19,0.8245,desktop_chrome,credit_card
ACC_000009,RING_00003,2026-04-02T09:49:14.372028+00:00,120,26,7758.14,298.39,23,21,0.8846,0.8077,18,0.8061,desktop_chrome,credit_card
ACC_000010,RING_00003,2026-04-04T09:23:12.441885+00:00,118,24,11327.76,471.99,22,20,0.9167,0.8333,20,0.8358,desktop_chrome,credit_card
ACC_000011,RING_00003,2026-03-29T18:56:46.508498+00:00,124,25,7488.75,299.55,22,20,0.88,0.8,20,0.7958,desktop_chrome,credit_card
ACC_000012,RING_00003,2026-03-28T14:21:44.361220+00:00,125,29,11279.84,388.96,26,24,0.8966,0.8276,15,0.6969,desktop_chrome,credit_card
ACC_000013,RING_00004,2026-01-19T00:14:41.466858+00:00,193,1,50.56,50.56,0,0,0.0,0.0,0,0.8246,desktop_chrome,virtual_card
ACC_000014,RING_00004,2026-01-19T00:04:15.889453+00:00,193,1,49.06,49.06,0,0,0.0,0.0,0,0.8905,desktop_chrome,virtual_card
ACC_000015,RING_00004,2026-01-19T00:23:07.680178+00:00,193,1,51.69,51.69,0,0,0.0,0.0,0,0.7738,desktop_chrome,virtual_card
ACC_000016,RING_00004,2026-01-19T00:14:31.591710+00:00,193,1,50.66,50.66,0,0,0.0,0.0,0,0.7685,desktop_chrome,virtual_card
ACC_000017,RING_00004,2026-01-19T00:08:40.304707+00:00,193,1,51.02,51.02,0,0,0.0,0.0,0,0.7978,desktop_chrome,virtual_card
ACC_000018,RING_00004,2026-01-19T00:14:46.373237+00:00,193,1,50.98,50.98,0,0,0.0,0.0,0,0.8736,desktop_chrome,virtual_card
ACC_000019,RING_00004,2026-01-19T00:00:34.205807+00:00,193,1,51.31,51.31,0,0,0.0,0.0,0,0.7683,desktop_chrome,virtual_card
ACC_000020,RING_00004,2026-01-19T00:23:57.838820+00:00,193,1,51.75,51.75,0,0,0.0,0.0,0,0.7891,desktop_chrome,virtual_card
ACC_000021,RING_00004,2026-01-19T00:12:03.455155+00:00,193,1,49.11,49.11,0,0,0.0,0.0,0,0.8443,desktop_chrome,virtual_card
ACC_000022,RING_00004,2026-01-19T00:19:34.102841+00:00,193,1,50.11,50.11,0,0,0.0,0.0,0,0.8911,desktop_chrome,virtual_card
ACC_000023,RING_00004,2026-01-19T00:02:04.095000+00:00,193,1,51.42,51.42,0,0,0.0,0.0,0,0.8039,desktop_chrome,virtual_card
ACC_000024,RING_00004,2026-01-19T00:12:09.987496+00:00,193,1,51.86,51.86,0,0,0.0,0.0,0,0.7995,desktop_chrome,virtual_card
ACC_000025,RING_00004,2026-01-19T00:12:16.060492+00:00,193,1,50.55,50.55,0,0,0.0,0.0,0,0.7935,desktop_chrome,virtual_card
ACC_000026,RING_00004,2026-01-19T00:23:26.739682+00:00,193,1,51.81,51.81,0,0,0.0,0.0,0,0.778,desktop_chrome,virtual_card
ACC_000027,RING_00004,2026-01-19T00:14:17.592079+00:00,193,1,49.13,49.13,0,0,0.0,0.0,0,0.824,desktop_chrome,virtual_card
ACC_000028,RING_00004,2026-01-19T00:11:50.234102+00:00,193,1,51.98,51.98,0,0,0.0,0.0,0,0.9016,desktop_chrome,virtual_card
ACC_000029,RING_00004,2026-01-19T00:06:40.463495+00:00,193,1,51.25,51.25,0,0,0.0,0.0,0,0.9014,desktop_chrome,virtual_card
ACC_000030,RING_00004,2026-01-19T00:08:17.353496+00:00,193,1,51.68,51.68,0,0,0.0,0.0,0,0.8382,desktop_chrome,virtual_card
ACC_000031,RING_00005,2027-01-12T04:45:11.929570+00:00,1,15,650.55,43.37,0,0,0.0,0.0,0,0.0756,desktop_safari,credit_card
ACC_000032,RING_00005,2026-12-20T18:40:02.347464+00:00,1,22,1747.24,79.42,0,0,0.0,0.0,1,0.078,desktop_chrome,debit_card
ACC_000033,RING_00005,2027-01-17T22:58:15.384054+00:00,1,29,1904.72,65.68,2,1,0.069,0.0345,0,0.024,desktop_safari,apple_pay
ACC_000034,RING_00005,2027-04-17T22:08:25.586506+00:00,1,7,499.8,71.4,0,0,0.0,0.0,0,0.0769,desktop_chrome,credit_card
ACC_000035,RING_00005,2026-06-26T02:57:12.846263+00:00,35,23,1534.56,66.72,1,0,0.0435,0.0,0,0.0753,desktop_safari,apple_pay
ACC_000036,RING_00005,2027-03-13T14:15:47.637313+00:00,1,11,741.62,67.42,0,0,0.0,0.0,1,0.0707,desktop_safari,debit_card
ACC_000037,RING_00005,2027-03-27T07:07:08.610024+00:00,1,11,849.42,77.22,0,0,0.0,0.0,0,0.0672,desktop_safari,credit_card
ACC_000038,RING_00005,2026-09-07T17:17:29.697734+00:00,1,28,1258.04,44.93,3,1,0.1071,0.0357,0,0.0208,desktop_chrome,credit_card
ACC_000039,RING_00005,2026-12-17T19:28:57.256316+00:00,1,17,1025.44,60.32,1,0,0.0588,0.0,1,0.0713,desktop_safari,apple_pay
ACC_000040,RING_00005,2026-12-10T15:27:00.399807+00:00,1,28,1726.48,61.66,0,0,0.0,0.0,0,0.0171,mobile_ios,apple_pay
ACC_000041,RING_00005,2027-04-08T22:55:23.388725+00:00,1,10,699.7,69.97,1,0,0.1,0.0,1,0.0645,desktop_safari,credit_card
ACC_000042,RING_00005,2026-10-04T15:10:23.686705+00:00,1,22,1285.9,58.45,1,0,0.0455,0.0,1,0.0392,desktop_chrome,credit_card
ACC_000043,RING_00005,2027-01-20T20:49:21.017062+00:00,1,10,586.6,58.66,1,0,0.1,0.0,0,0.033,desktop_chrome,debit_card
ACC_000044,RING_00005,2027-01-01T20:24:29.940740+00:00,1,6,441.84,73.64,0,0,0.0,0.0,0,0.0703,desktop_safari,credit_card
ACC_000045,RING_00005,2027-04-20T22:31:12.245280+00:00,1,23,1530.88,66.56,2,1,0.087,0.0435,0,0.0648,desktop_safari,apple_pay
ACC_000046,RING_00005,2026-12-26T19:40:17.933550+00:00,1,9,518.58,57.62,0,0,0.0,0.0,0,0.0466,desktop_safari,apple_pay
ACC_000047,RING_00005,2026-07-01T02:29:53.536739+00:00,30,24,1303.2,54.3,0,0,0.0,0.0,0,0.0642,mobile_ios,apple_pay
ACC_000048,RING_00005,2026-09-27T02:37:08.520782+00:00,1,18,1629.54,90.53,0,0,0.0,0.0,0,0.0407,desktop_safari,debit_card
ACC_000049,RING_00005,2026-11-07T13:45:10.922530+00:00,1,8,732.64,91.58,0,0,0.0,0.0,0,0.0183,mobile_ios,apple_pay
ACC_000050,RING_00005,2026-05-23T10:17:42.741879+00:00,69,7,399.7,57.1,0,0,0.0,0.0,0,0.041,mobile_ios,credit_card
ACC_000051,RING_00005,2027-03-31T12:17:17.556068+00:00,1,22,2088.68,94.94,2,1,0.0909,0.0455,0,0.0566,mobile_ios,debit_card
ACC_000052,RING_00005,2026-07-09T11:42:32.405183+00:00,22,26,1844.44,70.94,1,0,0.0385,0.0,1,0.0125,mobile_ios,credit_card
ACC_000053,RING_00005,2027-03-20T18:53:32.650279+00:00,1,11,869.55,79.05,1,0,0.0909,0.0,0,0.0589,desktop_safari,apple_pay
ACC_000054,RING_00005,2027-02-11T06:25:31.543540+00:00,1,18,1375.56,76.42,1,0,0.0556,0.0,1,0.0235,mobile_ios,credit_card
ACC_000055,RING_00005,2026-12-26T20:54:34.200626+00:00,1,5,185.6,37.12,0,0,0.0,0.0,0,0.0164,desktop_safari,credit_card
ACC_000056,RING_00005,2026-12-11T01:38:58.616313+00:00,1,16,1047.36,65.46,1,0,0.0625,0.0,0,0.059,mobile_ios,debit_card
ACC_000057,RING_00005,2026-11-05T16:49:04.161827+00:00,1,8,370.64,46.33,0,0,0.0,0.0,0,0.04,desktop_safari,debit_card
ACC_000058,RING_00005,2026-12-16T18:57:57.550514+00:00,1,20,1163.8,58.19,0,0,0.0,0.0,0,0.0258,mobile_ios,debit_card
ACC_000059,RING_00005,2026-09-09T20:05:24.978335+00:00,1,11,757.02,68.82,0,0,0.0,0.0,1,0.0352,desktop_safari,debit_card
ACC_000060,RING_00005,2026-11-22T07:10:37.168891+00:00,1,11,655.49,59.59,0,0,0.0,0.0,1,0.0181,mobile_ios,credit_card
ACC_000061,RING_00006,2026-02-26T00:18:34.038850+00:00,155,1,49.63,49.63,0,0,0.0,0.0,0,0.8393,desktop_chrome,virtual_card
ACC_000062,RING_00006,2026-02-26T00:00:22.024265+00:00,155,1,49.49,49.49,0,0,0.0,0.0,0,0.7782,desktop_chrome,virtual_card
ACC_000063,RING_00006,2026-02-26T00:20:40.760137+00:00,155,1,51.51,51.51,0,0,0.0,0.0,0,0.9182,desktop_chrome,virtual_card
ACC_000064,RING_00006,2026-02-26T00:21:24.822035+00:00,155,1,50.67,50.67,0,0,0.0,0.0,0,0.8926,desktop_chrome,virtual_card
ACC_000065,RING_00006,2026-02-26T00:09:18.392360+00:00,155,1,51.97,51.97,0,0,0.0,0.0,0,0.7741,desktop_chrome,virtual_card
ACC_000066,RING_00006,2026-02-26T00:03:50.419349+00:00,155,1,50.34,50.34,0,0,0.0,0.0,0,0.8167,desktop_chrome,virtual_card
ACC_000067,RING_00006,2026-02-26T00:15:01.260612+00:00,155,1,49.24,49.24,0,0,0.0,0.0,0,0.8784,desktop_chrome,virtual_card
ACC_000068,RING_00006,2026-02-26T00:02:59.508834+00:00,155,1,50.3,50.3,0,0,0.0,0.0,0,0.8298,desktop_chrome,virtual_card
ACC_000069,RING_00006,2026-02-26T00:09:07.379042+00:00,155,1,49.45,49.45,0,0,0.0,0.0,0,0.7808,desktop_chrome,virtual_card
ACC_000070,RING_00006,2026-02-26T00:23:57.643771+00:00,155,1,51.72,51.72,0,0,0.0,0.0,0,0.7576,desktop_chrome,virtual_card
ACC_000071,RING_00006,2026-02-26T00:24:53.196709+00:00,155,1,49.7,49.7,0,0,0.0,0.0,0,0.7997,desktop_chrome,virtual_card
ACC_000072,RING_00006,2026-02-26T00:19:18.157337+00:00,155,1,50.47,50.47,0,0,0.0,0.0,0,0.8497,desktop_chrome,virtual_card
ACC_000073,RING_00006,2026-02-26T00:07:46.442265+00:00,155,1,50.48,50.48,0,0,0.0,0.0,0,0.7643,desktop_chrome,virtual_card
ACC_000074,RING_00006,2026-02-26T00:17:11.497574+00:00,155,1,49.73,49.73,0,0,0.0,0.0,0,0.8934,desktop_chrome,virtual_card
ACC_000075,RING_00006,2026-02-26T00:17:38.109548+00:00,155,1,50.91,50.91,0,0,0.0,0.0,0,0.8604,desktop_chrome,virtual_card
ACC_000076,RING_00006,2026-02-26T00:09:41.762543+00:00,155,1,51.01,51.01,0,0,0.0,0.0,0,0.8797,desktop_chrome,virtual_card
ACC_000077,RING_00006,2026-02-26T00:16:01.332952+00:00,155,1,49.17,49.17,0,0,0.0,0.0,0,0.8123,desktop_chrome,virtual_card
ACC_000078,RING_00006,2026-02-26T00:00:16.091467+00:00,155,1,50.62,50.62,0,0,0.0,0.0,0,0.8075,desktop_chrome,virtual_card
ACC_000079,RING_00007,2027-03-20T07:31:51.864645+00:00,1,24,2913.84,121.41,3,2,0.125,0.0833,0,0.078,desktop_chrome,debit_card
ACC_000080,RING_00008,2027-01-22T09:59:12.783757+00:00,1,20,747.2,37.36,1,0,0.05,0.0,0,0.0842,mobile_android,debit_card
ACC_000081,RING_00009,2027-04-18T08:37:12.361701+00:00,1,29,4041.73,139.37,1,0,0.0345,0.0,1,0.0604,desktop_chrome,credit_card
ACC_000082,RING_00009,2026-10-02T15:10:37.228295+00:00,1,27,3960.36,146.68,2,1,0.0741,0.037,0,0.0302,mobile_ios,credit_card
ACC_000083,RING_00009,2026-05-09T22:41:43.339570+00:00,83,20,1823.0,91.15,1,0,0.05,0.0,2,0.0785,desktop_chrome,credit_card
ACC_000084,RING_00009,2027-03-28T12:23:11.777446+00:00,1,29,2349.0,81.0,2,1,0.069,0.0345,2,0.0176,desktop_chrome,credit_card
ACC_000085,RING_00009,2027-01-19T21:25:10.789875+00:00,1,17,1842.97,108.41,0,0,0.0,0.0,2,0.0701,desktop_chrome,credit_card
ACC_000086,RING_00009,2027-03-17T21:45:41.619316+00:00,1,17,2274.77,133.81,1,0,0.0588,0.0,1,0.0697,desktop_chrome,credit_card
ACC_000087,RING_00009,2027-03-14T14:14:39.280652+00:00,1,31,3687.14,118.94,0,0,0.0,0.0,0,0.0665,mobile_ios,credit_card
ACC_000088,RING_00010,2027-03-30T10:34:19.637212+00:00,1,34,2795.14,82.21,2,1,0.0588,0.0294,1,0.0207,mobile_ios,debit_card
ACC_000089,RING_00011,2026-07-07T02:44:55.517417+00:00,24,18,1014.12,56.34,1,0,0.0556,0.0,1,0.0728,mobile_ios,credit_card
ACC_000090,RING_00011,2026-10-11T16:41:21.248914+00:00,1,7,371.7,53.1,0,0,0.0,0.0,1,0.0326,mobile_ios,credit_card
ACC_000091,RING_00011,2026-10-26T14:12:57.099664+00:00,1,13,1424.8,109.6,0,0,0.0,0.0,1,0.0572,mobile_ios,credit_card
ACC_000092,RING_00011,2026-08-18T15:37:45.418478+00:00,1,9,661.05,73.45,0,0,0.0,0.0,0,0.0403,mobile_ios,credit_card
ACC_000093,RING_00011,2026-05-15T19:40:46.570208+00:00,77,13,759.72,58.44,0,0,0.0,0.0,0,0.0136,mobile_ios,credit_card
ACC_000094,RING_00011,2026-05-04T02:32:52.436323+00:00,88,19,667.28,35.12,0,0,0.0,0.0,0,0.0178,mobile_ios,credit_card
ACC_000095,RING_00011,2026-06-10T22:16:40.653396+00:00,51,10,545.3,54.53,0,0,0.0,0.0,0,0.0326,mobile_ios,credit_card
ACC_000096,RING_00011,2026-06-10T05:17:50.434062+00:00,51,7,618.59,88.37,0,0,0.0,0.0,1,0.0205,mobile_ios,credit_card
ACC_000097,RING_00011,2026-04-28T11:55:05.587110+00:00,94,17,903.04,53.12,0,0,0.0,0.0,0,0.0498,mobile_ios,credit_card
ACC_000098,RING_00011,2026-09-04T17:39:26.720187+00:00,1,11,594.77,54.07,0,0,0.0,0.0,0,0.0743,mobile_ios,credit_card
ACC_000099,RING_00011,2026-11-01T22:44:50.243657+00:00,1,6,307.38,51.23,0,0,0.0,0.0,0,0.039,mobile_ios,credit_card
ACC_000100,RING_00011,2026-03-08T17:02:45.111429+00:00,145,15,1355.85,90.39,1,0,0.0667,0.0,0,0.0322,mobile_ios,credit_card
ACC_000101,RING_00011,2026-09-26T22:17:13.466018+00:00,1,4,141.2,35.3,0,0,0.0,0.0,0,0.0112,mobile_ios,credit_card
ACC_000102,RING_00011,2026-11-22T02:44:17.379310+00:00,1,10,387.9,38.79,0,0,0.0,0.0,1,0.0516,mobile_ios,credit_card
ACC_000103,RING_00011,2026-08-28T17:08:21.039854+00:00,1,6,484.86,80.81,0,0,0.0,0.0,0,0.0487,mobile_ios,credit_card
ACC_000104,RING_00011,2026-10-16T12:38:24.387829+00:00,1,15,539.1,35.94,0,0,0.0,0.0,1,0.0657,mobile_ios,credit_card
ACC_000105,RING_00011,2026-06-29T12:03:07.661851+00:00,32,6,290.28,48.38,0,0,0.0,0.0,1,0.024,mobile_ios,credit_card
ACC_000106,RING_00011,2026-10-09T01:09:47.926269+00:00,1,14,1268.82,90.63,0,0,0.0,0.0,1,0.0612,mobile_ios,credit_card
ACC_000107,RING_00012,2026-07-24T22:20:59.013344+00:00,7,36,1339.2,37.2,1,0,0.0278,0.0,0,0.0402,mobile_android,paypal
ACC_000108,RING_00013,2026-11-06T17:02:15.562788+00:00,1,22,1487.86,67.63,2,1,0.0909,0.0455,2,0.0336,desktop_chrome,debit_card
ACC_000109,RING_00013,2026-06-16T10:31:43.519593+00:00,45,38,5560.16,146.32,1,0,0.0263,0.0,2,0.0221,mobile_ios,debit_card
ACC_000110,RING_00013,2026-09-19T14:19:00.721676+00:00,1,11,1121.78,101.98,1,0,0.0909,0.0,3,0.0251,mobile_ios,credit_card
ACC_000111,RING_00013,2027-04-07T22:43:12.568093+00:00,1,39,2373.15,60.85,3,1,0.0769,0.0256,3,0.0432,mobile_ios,credit_card
ACC_000112,RING_00013,2026-06-20T07:15:09.195271+00:00,41,14,1570.66,112.19,0,0,0.0,0.0,2,0.0278,mobile_android,debit_card
ACC_000113,RING_00013,2027-03-22T14:46:22.888869+00:00,1,16,904.8,56.55,0,0,0.0,0.0,2,0.0608,mobile_ios,debit_card
ACC_000114,RING_00013,2027-02-14T12:48:45.483340+00:00,1,31,3287.55,106.05,2,1,0.0645,0.0323,3,0.0247,mobile_ios,credit_card
ACC_000115,RING_00013,2026-09-23T05:50:09.560090+00:00,1,25,2374.25,94.97,1,0,0.04,0.0,2,0.0175,mobile_ios,credit_card
ACC_000116,RING_00013,2026-06-02T02:05:08.275829+00:00,59,26,1525.68,58.68,1,0,0.0385,0.0,1,0.0293,mobile_android,debit_card
ACC_000117,RING_00013,2027-04-10T10:35:50.732837+00:00,1,15,1483.65,98.91,1,0,0.0667,0.0,3,0.0652,mobile_ios,debit_card
ACC_000118,RING_00013,2027-01-05T08:03:01.488782+00:00,1,28,4234.72,151.24,2,1,0.0714,0.0357,2,0.0483,desktop_chrome,debit_card
ACC_000119,RING_00013,2026-05-01T14:41:18.776211+00:00,91,23,2074.37,90.19,0,0,0.0,0.0,1,0.0291,mobile_android,credit_card
ACC_000120,RING_00013,2027-03-26T00:35:11.430221+00:00,1,24,2951.52,122.98,1,0,0.0417,0.0,3,0.0124,mobile_android,debit_card
ACC_000121,RING_00013,2026-11-29T23:57:32.041768+00:00,1,25,2178.25,87.13,1,0,0.04,0.0,3,0.0342,mobile_android,debit_card
ACC_000122,RING_00013,2026-11-24T19:53:21.343833+00:00,1,22,2103.42,95.61,1,0,0.0455,0.0,1,0.0155,mobile_ios,credit_card
ACC_000123,RING_00013,2026-05-29T02:58:28.321278+00:00,63,19,1394.03,73.37,1,0,0.0526,0.0,3,0.0178,mobile_android,debit_card
ACC_000124,RING_00013,2026-05-31T00:12:54.417860+00:00,61,37,5719.83,154.59,2,1,0.0541,0.027,2,0.0253,desktop_chrome,credit_card
ACC_000125,RING_00013,2026-03-20T06:59:05.245904+00:00,133,30,3455.4,115.18,1,0,0.0333,0.0,2,0.0662,desktop_chrome,debit_card
ACC_000126,RING_00013,2026-07-22T15:28:05.386095+00:00,9,28,4235.0,151.25,1,0,0.0357,0.0,1,0.0687,mobile_android,credit_card
ACC_000127,RING_00013,2026-06-15T02:10:20.103710+00:00,46,23,1716.95,74.65,1,0,0.0435,0.0,2,0.0346,desktop_chrome,credit_card
ACC_000128,RING_00013,2026-07-23T10:50:51.712375+00:00,8,10,609.1,60.91,0,0,0.0,0.0,3,0.0169,mobile_android,credit_card
ACC_000129,RING_00013,2026-11-13T20:49:04.257518+00:00,1,22,1166.22,53.01,2,1,0.0909,0.0455,3,0.0574,mobile_ios,credit_card
ACC_000130,RING_00013,2026-05-20T13:01:16.493079+00:00,72,34,3488.06,102.59,1,0,0.0294,0.0,1,0.0492,mobile_android,credit_card
ACC_000131,RING_00013,2027-04-05T15:58:30.543165+00:00,1,31,2909.35,93.85,1,0,0.0323,0.0,1,0.0503,mobile_ios,debit_card
ACC_000132,RING_00014,2026-11-27T12:00:16.950244+00:00,1,23,806.61,35.07,1,0,0.0435,0.0,1,0.0167,desktop_safari,credit_card
ACC_000133,RING_00014,2026-07-19T01:46:33.383130+00:00,12,5,353.3,70.66,0,0,0.0,0.0,1,0.0218,desktop_safari,credit_card
ACC_000134,RING_00014,2026-03-17T09:24:45.032211+00:00,136,25,1075.5,43.02,1,0,0.04,0.0,0,0.0453,desktop_safari,debit_card
ACC_000135,RING_00014,2026-11-09T12:52:50.172013+00:00,1,10,373.4,37.34,0,0,0.0,0.0,0,0.0676,mobile_ios,credit_card
ACC_000136,RING_00014,2026-07-03T10:48:46.967986+00:00,28,16,1377.6,86.1,1,0,0.0625,0.0,0,0.0255,mobile_ios,debit_card
ACC_000137,RING_00014,2026-12-07T06:38:43.550186+00:00,1,18,512.28,28.46,1,0,0.0556,0.0,1,0.044,desktop_chrome,debit_card
ACC_000138,RING_00014,2026-06-30T17:35:32.332579+00:00,31,19,893.57,47.03,0,0,0.0,0.0,0,0.0574,desktop_chrome,apple_pay
ACC_000139,RING_00014,2026-04-14T21:44:14.786649+00:00,108,21,1224.93,58.33,2,1,0.0952,0.0476,1,0.0142,desktop_safari,debit_card
ACC_000140,RING_00014,2026-03-19T16:42:58.413506+00:00,134,10,373.3,37.33,0,0,0.0,0.0,0,0.0702,mobile_ios,credit_card
ACC_000141,RING_00014,2026-09-19T18:35:27.534599+00:00,1,11,990.88,90.08,0,0,0.0,0.0,1,0.0175,mobile_ios,credit_card
ACC_000142,RING_00014,2026-12-04T03:08:54.726636+00:00,1,23,646.07,28.09,1,0,0.0435,0.0,0,0.0327,desktop_chrome,debit_card
ACC_000143,RING_00014,2026-08-10T12:14:44.466041+00:00,1,29,1497.85,51.65,2,1,0.069,0.0345,1,0.0509,desktop_chrome,debit_card
ACC_000144,RING_00014,2026-09-12T03:49:16.591229+00:00,1,26,1435.46,55.21,1,0,0.0385,0.0,1,0.0749,desktop_chrome,apple_pay
ACC_000145,RING_00014,2026-07-28T06:06:24.317733+00:00,3,19,901.55,47.45,1,0,0.0526,0.0,1,0.0365,desktop_chrome,debit_card
ACC_000146,RING_00014,2026-09-02T13:29:22.658520+00:00,1,10,828.8,82.88,0,0,0.0,0.0,1,0.0518,desktop_safari,credit_card
