cluster_id,cluster_type,member_count,device_count,ip_count,payment_count,address_count,density,cluster_abuse_label
RING_00001,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00002,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00003,WARDROBING_MULE_CLUSTER,10,10,10,10,1,0.4,1
RING_00004,PROMO_FARMING_RING,18,1,1,1,1,0.2222,1
RING_00005,CAMPUS_SHARED_IP,30,30,1,30,30,0.1333,0
RING_00006,PROMO_FARMING_RING,18,1,1,1,1,0.2222,1
RING_00007,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00008,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00009,PARTIAL_NETWORK_OVERLAP,7,7,7,1,7,0.5714,0
RING_00010,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00011,PUBLIC_KIOSK_DEVICE,18,1,18,18,18,0.2222,0
RING_00012,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00013,APARTMENT_BUILDING_ADDR,24,24,24,24,1,0.1667,0
RING_00014,CAMPUS_SHARED_IP,44,44,1,44,44,0.0909,0
RING_00015,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00016,WARDROBING_MULE_CLUSTER,9,9,9,9,1,0.4444,1
RING_00017,STAR_TOPOLOGY_BENIGN,21,21,21,1,21,0.1905,0
RING_00018,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00019,CAMPUS_SHARED_IP,62,62,1,62,62,0.0645,0
RING_00020,FAMILY_HOUSEHOLD,4,4,4,1,1,1.0,0
RING_00021,COWORKING_PUBLIC_WIFI,43,43,1,43,43,0.093,0
RING_00022,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00023,PARTIAL_NETWORK_OVERLAP,4,4,4,1,4,1.0,0
RING_00024,COWORKING_PUBLIC_WIFI,32,32,1,32,32,0.125,0
RING_00025,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00026,SINGLETON_CLEAN,1,1,1,1,1,1.0,0
RING_00027,WARDROBING_MULE_CLUSTER,9,9,9,9,1,0.4444,1
RING_00028,SLOW_DRIP_COORDINATED_RING,17,2,17,3,1,0.2353,1
RING_00029,CARD_TESTING_SYNDICATE,21,1,1,21,10,0.1905,1
RING_00030,PUBLIC_KIOSK_DEVICE,12,1,12,12,12,0.3333,0
RING_00031,APARTMENT_BUILDING_ADDR,15,15,15,15,1,0.2667,0
RING_00032,APARTMENT_BUILDING_ADDR,15,15,15,15,1,0.2667,0
