edge_id,account_id,entity_type,entity_id,first_seen_at,last_seen_at,interaction_count,event_type
EDGE_00000001,ACC_000001,DEVICE,DEV_SOLO_000001,2027-07-01T07:10:30.140172+00:00,2027-08-13T07:10:30.140172+00:00,25,CHECKOUT
EDGE_00000002,ACC_000001,IP,IP_SOLO_000001,2027-07-01T07:10:30.140172+00:00,2027-10-10T07:10:30.140172+00:00,17,CHECKOUT
EDGE_00000003,ACC_000001,PAYMENT,CARD_SOLO_000001,2027-07-01T07:10:30.140172+00:00,2027-09-25T07:10:30.140172+00:00,9,CHECKOUT
EDGE_00000004,ACC_000001,ADDRESS,ADDR_SOLO_000001,2027-07-01T07:10:30.140172+00:00,2028-01-03T07:10:30.140172+00:00,24,CHECKOUT
EDGE_00000005,ACC_000002,DEVICE,DEV_SOLO_000002,2026-12-03T16:58:13.389341+00:00,2027-04-28T16:58:13.389341+00:00,13,CHECKOUT
EDGE_00000006,ACC_000002,IP,IP_SOLO_000002,2026-12-03T16:58:13.389341+00:00,2027-01-04T16:58:13.389341+00:00,29,CHECKOUT
EDGE_00000007,ACC_000002,PAYMENT,CARD_SOLO_000002,2026-12-03T16:58:13.389341+00:00,2027-03-13T16:58:13.389341+00:00,27,CHECKOUT
EDGE_00000008,ACC_000002,ADDRESS,ADDR_SOLO_000002,2026-12-03T16:58:13.389341+00:00,2027-04-24T16:58:13.389341+00:00,24,CHECKOUT
EDGE_00000009,ACC_000003,DEVICE,DEV_PHONE_000003,2026-03-26T21:01:32.907280+00:00,2026-05-08T21:01:32.907280+00:00,31,CHECKOUT
EDGE_00000010,ACC_000003,IP,IP_MULE_000003,2026-03-26T21:01:32.907280+00:00,2026-04-14T21:01:32.907280+00:00,19,CHECKOUT
EDGE_00000011,ACC_000003,PAYMENT,CARD_LUXURY_000003,2026-03-26T21:01:32.907280+00:00,2026-05-14T21:01:32.907280+00:00,34,CHECKOUT
EDGE_00000012,ACC_000003,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-03-26T21:01:32.907280+00:00,2026-04-29T21:01:32.907280+00:00,34,REFUND_REQUEST
EDGE_00000013,ACC_000004,DEVICE,DEV_PHONE_000004,2026-03-29T02:03:32.242293+00:00,2026-05-19T02:03:32.242293+00:00,10,CHECKOUT
EDGE_00000014,ACC_000004,IP,IP_MULE_000004,2026-03-29T02:03:32.242293+00:00,2026-05-18T02:03:32.242293+00:00,33,CHECKOUT
EDGE_00000015,ACC_000004,PAYMENT,CARD_LUXURY_000004,2026-03-29T02:03:32.242293+00:00,2026-05-18T02:03:32.242293+00:00,29,CHECKOUT
EDGE_00000016,ACC_000004,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-03-29T02:03:32.242293+00:00,2026-05-04T02:03:32.242293+00:00,31,REFUND_REQUEST
EDGE_00000017,ACC_000005,DEVICE,DEV_PHONE_000005,2026-04-08T15:51:48.591203+00:00,2026-05-12T15:51:48.591203+00:00,30,CHECKOUT
EDGE_00000018,ACC_000005,IP,IP_MULE_000005,2026-04-08T15:51:48.591203+00:00,2026-05-22T15:51:48.591203+00:00,24,CHECKOUT
EDGE_00000019,ACC_000005,PAYMENT,CARD_LUXURY_000005,2026-04-08T15:51:48.591203+00:00,2026-05-31T15:51:48.591203+00:00,26,CHECKOUT
EDGE_00000020,ACC_000005,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-04-08T15:51:48.591203+00:00,2026-04-26T15:51:48.591203+00:00,32,REFUND_REQUEST
EDGE_00000021,ACC_000006,DEVICE,DEV_PHONE_000006,2026-04-09T21:29:09.005409+00:00,2026-05-09T21:29:09.005409+00:00,23,CHECKOUT
EDGE_00000022,ACC_000006,IP,IP_MULE_000006,2026-04-09T21:29:09.005409+00:00,2026-06-07T21:29:09.005409+00:00,16,CHECKOUT
EDGE_00000023,ACC_000006,PAYMENT,CARD_LUXURY_000006,2026-04-09T21:29:09.005409+00:00,2026-05-06T21:29:09.005409+00:00,22,CHECKOUT
EDGE_00000024,ACC_000006,ADDRESS,ADDR_COMMERCIAL_HUB_000003,2026-04-09T21:29:09.005409+00:00,2026-06-07T21:29:09.005409+00:00,35,REFUND_REQUEST
EDGE_00000025,ACC_000007,DEVICE,DEV_PHONE_000007,2026-04-14T08:24:16.817646+00:00,2026-05-04T08:24:16.817646+00:00,26,CHECKOUT
EDGE_00000026,ACC_000007,IP,IP_MULE_000007,2026-04-14T08:24:16.817646+00:00,2026-05-21T08:24:16.817646+00:00,33,CHECKOUT
EDGE_00000027,ACC_000007,PAYMENT,CARD_LUXURY_000007,2026-04-14T08:24:16.817646+00:00,2026-06-12T08:24:16.817646+00:00,29,CHECKOUT
