account_id,order_count,return_count,refund_count,total_spend,average_order_value,account_age_days,device_count,ip_count,payment_instrument_count,return_rate,refund_rate,high_value_order_count,suspicious_activity_score,device_type,primary_payment_method,abuse_label
ACC_LEGIT_STD_00143,9,0,0,153.04,16.71,256,1,1,1,0.0,0.0,1,0.0204,mobile_android,apple_pay,0
ACC_LEGIT_STD_00117,12,1,1,931.71,77.33,485,1,1,1,0.0833,0.0833,2,0.0009,mobile_ios,credit_card,0
ACC_LEGIT_STD_00649,13,1,1,794.53,60.28,618,2,2,2,0.0769,0.0769,0,0.2393,mobile_android,credit_card,0
ACC_LEGIT_ACT_00230,43,18,15,3579.64,82.99,151,3,2,1,0.4186,0.3488,7,0.2519,mobile_ios,debit_card,0
ACC_LEGIT_STD_02118,5,0,0,266.45,56.16,388,1,1,1,0.0,0.0,1,0.0431,mobile_android,credit_card,0
ACC_LEGIT_STD_02764,6,2,2,362.97,64.59,543,1,1,2,0.3333,0.3333,1,0.219,desktop_safari,credit_card,0
ACC_LEGIT_STD_01424,5,0,0,266.1,57.0,399,1,1,1,0.0,0.0,0,0.0189,mobile_ios,apple_pay,0
ACC_WARD_00179,35,26,22,9049.21,252.24,56,2,1,2,0.7429,0.6286,17,0.7918,desktop_chrome,virtual_card,1
ACC_LEGIT_STD_02683,2,0,0,145.95,69.35,74,1,1,1,0.0,0.0,0,0.0613,mobile_ios,debit_card,0
ACC_LEGIT_STD_02521,7,1,1,388.72,58.32,483,1,2,1,0.1429,0.1429,0,0.0537,desktop_chrome,debit_card,0
ACC_LEGIT_ACT_00402,35,10,8,2200.05,61.64,292,1,1,1,0.2857,0.2286,9,0.2665,mobile_android,credit_card,0
ACC_LEGIT_STD_01070,3,0,0,269.17,92.8,271,1,3,1,0.0,0.0,0,0.0148,mobile_android,debit_card,0
ACC_LEGIT_STD_02917,11,0,0,632.76,54.7,352,1,1,1,0.0,0.0,2,0.1408,mobile_ios,credit_card,0
ACC_LEGIT_STD_02618,6,0,0,507.89,81.76,250,1,1,1,0.0,0.0,0,0.0246,mobile_ios,paypal,0
ACC_LEGIT_STD_00838,7,1,1,491.27,73.15,415,1,1,1,0.1429,0.1429,1,0.0042,mobile_ios,debit_card,0
ACC_LEGIT_STD_02945,13,0,0,833.85,65.19,613,1,3,1,0.0,0.0,2,0.0088,mobile_android,credit_card,0
ACC_LEGIT_STD_02321,16,2,1,982.29,65.47,632,2,1,2,0.125,0.0625,2,0.0254,mobile_ios,credit_card,0
ACC_LEGIT_STD_01619,7,0,0,547.62,75.25,285,3,1,1,0.0,0.0,2,0.0197,mobile_ios,credit_card,0
ACC_LEGIT_STD_01319,6,1,0,209.23,32.77,384,1,2,1,0.1667,0.0,1,0.0189,mobile_android,debit_card,0
ACC_LEGIT_STD_01345,8,0,0,595.56,77.44,438,1,1,1,0.0,0.0,0,0.0176,mobile_ios,paypal,0
ACC_RING_048_0049,10,8,6,1225.4,122.54,7,3,9,4,0.8,0.6,4,0.7717,emulator_bot,virtual_card,1
ACC_RING_066_0067,26,21,18,2538.64,97.64,25,3,9,5,0.8077,0.6923,14,0.9686,desktop_chrome,crypto_gift_card,1
ACC_LEGIT_ACT_00838,41,11,10,4399.02,104.06,111,1,3,2,0.2683,0.2439,3,0.2977,desktop_chrome,paypal,0
ACC_RING_038_0173,9,7,6,663.21,73.69,4,5,6,5,0.7778,0.6667,6,0.8348,desktop_chrome,crypto_gift_card,1
ACC_LEGIT_NEW_00048,2,0,0,122.2,61.1,13,1,1,1,0.0,0.0,0,0.1523,mobile_android,credit_card,0
ACC_LEGIT_STD_00420,2,0,0,160.99,82.5,308,1,2,1,0.0,0.0,1,0.0931,mobile_android,credit_card,0
ACC_LEGIT_ACT_00265,27,8,7,1961.48,75.96,516,1,3,1,0.2963,0.2593,6,0.1351,desktop_chrome,paypal,0
ACC_LEGIT_NEW_00234,2,1,1,125.92,62.96,6,1,1,1,0.5,0.5,0,0.1459,mobile_ios,debit_card,0
ACC_LEGIT_ACT_00843,32,12,10,2415.01,77.31,492,2,3,3,0.375,0.3125,8,0.1764,desktop_chrome,paypal,0
ACC_LEGIT_STD_02963,18,1,1,278.18,15.0,760,1,3,1,0.0556,0.0556,0,0.0544,mobile_android,credit_card,0
ACC_LEGIT_ACT_00269,21,4,3,1925.2,91.71,810,4,2,1,0.1905,0.1429,5,0.101,mobile_ios,apple_pay,0
ACC_LEGIT_STD_01547,9,0,0,135.8,15.0,625,1,2,1,0.0,0.0,0,0.0268,mobile_ios,credit_card,0
ACC_LEGIT_STD_00113,3,1,0,199.91,63.61,135,1,1,2,0.3333,0.0,0,0.2166,desktop_safari,credit_card,0
ACC_LEGIT_STD_02909,16,0,0,900.54,58.08,713,1,1,2,0.0,0.0,0,0.064,mobile_ios,credit_card,0
ACC_LEGIT_STD_02264,13,0,0,931.21,72.54,464,1,1,2,0.0,0.0,1,0.0056,mobile_android,credit_card,0
ACC_LEGIT_STD_01366,4,0,0,352.18,85.0,240,1,1,1,0.0,0.0,0,0.1032,mobile_ios,debit_card,0
ACC_LEGIT_STD_01529,11,0,0,450.7,42.39,432,1,1,1,0.0,0.0,0,0.0131,mobile_android,credit_card,0
ACC_WARD_00056,35,23,21,5354.31,146.81,102,1,2,1,0.6571,0.6,26,0.7092,mobile_ios,paypal,1
ACC_LEGIT_STD_02085,9,0,0,311.52,32.06,344,2,1,3,0.0,0.0,0,0.1143,mobile_ios,credit_card,0
ACC_WARD_00120,20,16,15,4658.46,222.06,219,1,2,1,0.8,0.75,10,0.6207,mobile_android,credit_card,1
ACC_LEGIT_STD_02142,9,1,1,446.55,52.15,380,1,1,1,0.1111,0.1111,1,0.1762,mobile_ios,credit_card,0
ACC_LEGIT_STD_01271,13,2,1,1115.11,81.19,668,2,1,3,0.1538,0.0769,1,0.0585,mobile_android,credit_card,0
ACC_LEGIT_STD_01600,16,2,1,1020.1,67.16,720,1,1,3,0.125,0.0625,1,0.0931,mobile_android,paypal,0
ACC_LEGIT_STD_02935,14,0,0,1319.27,91.37,650,1,1,3,0.0,0.0,1,0.0102,mobile_ios,debit_card,0
ACC_LEGIT_ACT_00679,40,17,15,4064.27,98.49,258,1,3,1,0.425,0.375,6,0.2093,desktop_chrome,credit_card,0
ACC_LEGIT_ACT_00705,30,13,12,3588.35,115.46,437,1,1,1,0.4333,0.4,4,0.6182,mobile_ios,credit_card,0
ACC_LEGIT_STD_01746,10,0,0,592.32,61.48,348,1,3,2,0.0,0.0,0,0.0552,mobile_android,credit_card,0
ACC_LEGIT_STD_00883,12,0,0,1091.22,90.61,529,1,1,2,0.0,0.0,0,0.0914,desktop_chrome,credit_card,0
ACC_LEGIT_STD_00609,4,0,0,199.19,47.78,168,2,1,1,0.0,0.0,0,0.0916,mobile_android,debit_card,0
ACC_LEGIT_STD_02511,9,1,1,467.48,50.52,610,3,3,1,0.1111,0.1111,1,0.0167,mobile_android,credit_card,0
ACC_LEGIT_STD_01731,7,0,0,653.56,88.5,538,2,2,1,0.0,0.0,0,0.0962,mobile_android,debit_card,0
ACC_LEGIT_STD_01831,12,1,0,492.63,40.1,368,1,1,1,0.0833,0.0,0,0.0439,mobile_ios,paypal,0
ACC_LEGIT_ACT_00506,13,3,2,691.42,52.37,725,3,1,1,0.2308,0.1538,4,0.1565,desktop_chrome,credit_card,0
ACC_LEGIT_STD_02120,13,1,1,985.71,76.79,557,1,1,1,0.0769,0.0769,1,0.1233,mobile_ios,credit_card,0
ACC_RING_052_0053,25,17,14,3336.25,133.45,7,7,4,4,0.68,0.56,10,0.8302,emulator_bot,crypto_gift_card,1
ACC_LEGIT_NEW_00168,1,0,0,48.52,48.52,5,1,1,1,0.0,0.0,0,0.2156,mobile_ios,debit_card,0
ACC_LEGIT_STD_00914,8,2,1,671.78,87.95,355,1,1,1,0.25,0.125,1,0.0343,mobile_ios,apple_pay,0
ACC_LEGIT_STD_02203,3,0,0,138.11,45.56,152,1,2,1,0.0,0.0,0,0.0195,mobile_ios,credit_card,0
